Area,Payment,Ownership,Status,Bedrooms,Bathrooms,PrivateGarden,price
150,Cash,Primary,Ready,3,3,Yes,"EGP 7,000,000"
235,Cash,Resale,Ready,3,3,No,"EGP 7,000,000"
170,Installment,Primary,Off-plan,3,3,Yes,"EGP 7,732,255"
135,Installment,Resale,Ready,2,2,No,"EGP 5,100,000"
165,Cash,Resale,Ready,3,3,No,"EGP 6,850,000"
165,Cash,Resale,Ready,3,3,No,"EGP 5,900,000"
155,Cash or Installment,Resale,Ready,3,3,No,"EGP 6,493,000"
225,Cash,Resale,Ready,3,3,No,"EGP 8,000,000"
145,Installment,Resale,Ready,3,3,No,"EGP 8,800,000"
300,Cash,Primary,Ready,3,4,Yes,"EGP 7,000,000"
135,Cash,Primary,Ready,2,3,No,"EGP 4,850,000"
160,Cash,Resale,Ready,3,3,Yes,"EGP 7,000,000"
235,Cash,Resale,Ready,3,3,No,"EGP 8,000,000"
140,Installment,Resale,Ready,3,3,No,"EGP 7,119,000"
140,Cash or Installment,Resale,Ready,3,2,Yes,"EGP 7,925,000"
160,Cash,Primary,Ready,3,2,Yes,"EGP 6,000,000"
,,,,,,No,
170,Cash,Resale,Ready,3,3,No,"EGP 7,200,000"
140,Cash or Installment,Resale,Ready,3,3,Yes,"EGP 7,119,000"
140,Cash,Primary,Ready,3,3,Yes,"EGP 5,500,000"
145,Cash,Primary,Ready,3,3,No,"EGP 5,225,000"
170,Cash,Resale,Ready,2,2,Yes,"EGP 7,700,000"
160,Cash,Primary,Ready,3,2,Yes,"EGP 5,750,000"
155,Cash or Installment,Resale,Ready,3,3,No,"EGP 6,587,000"
160,Cash,Resale,Ready,3,3,No,"EGP 6,800,000"
175,Cash,Resale,Ready,3,3,No,"EGP 7,250,000"
180,Cash,Resale,Ready,3,3,No,"EGP 7,700,000"
160,Cash,Resale,Ready,3,3,Yes,"EGP 7,300,000"
130,Installment,Resale,Ready,2,2,No,"EGP 6,800,000"
240,Cash,Primary,Ready,3,3,No,"EGP 9,250,000"
165,Installment,Resale,Ready,3,3,No,"EGP 6,640,000"
280,Cash,Resale,Ready,3,4,No,"EGP 12,670,000"
160,Cash,Resale,Ready,3,2,Yes,"EGP 7,300,000"
180,Cash,Primary,Ready,3,3,No,"EGP 7,000,000"
165,Cash,Resale,Ready,3,3,No,"EGP 5,950,000"
185,Installment,Resale,Ready,3,3,No,"EGP 9,550,000"
160,Cash,Resale,Ready,3,3,Yes,"EGP 8,000,000"
170,Installment,Primary,Off-plan,3,3,Yes,"EGP 8,082,255"
170,Cash or Installment,Resale,Ready,3,3,Yes,"EGP 7,490,000"
170,Cash,Resale,Ready,3,3,No,"EGP 5,950,000"
235,Cash,Resale,Ready,3,4,No,"EGP 8,300,000"
165,Cash,Resale,Ready,3,3,No,"EGP 5,950,000"
205,Installment,Primary,Ready,4,4,No,"EGP 16,912,834"
170,Cash,Resale,Ready,3,3,No,"EGP 6,090,000"
160,Cash,Resale,Ready,3,3,No,"EGP 10,000,000"
160,Cash,Primary,Ready,3,3,Yes,"EGP 6,000,000"
165,Installment,Resale,Off-plan,3,3,No,"EGP 6,766,000"
235,Cash,Resale,Ready,3,3,No,"EGP 7,000,000"
150,Cash,Primary,Ready,3,3,Yes,"EGP 7,000,000"
165,Installment,Resale,Ready,3,3,No,"EGP 7,000,000"
155,Cash or Installment,Primary,Ready,3,2,No,"EGP 19,390,288"
140,Cash or Installment,Primary,Off-plan,3,3,Yes,"EGP 10,600,000"
120,Cash,Primary,Off-plan,2,2,No,"EGP 7,000,000"
160,Cash,Primary,Ready,3,3,No,"EGP 7,800,000"
175,Cash,Resale,Ready,3,3,Yes,"EGP 7,300,000"
140,Cash,Resale,Ready,2,2,No,"EGP 5,450,000"
160,Cash,Resale,Ready,3,2,Yes,"EGP 7,500,000"
140,Installment,Primary,Ready,2,2,No,"EGP 15,226,159"
140,Cash,Resale,Ready,2,2,No,"EGP 5,500,000"
175,Cash,Resale,Ready,3,3,No,"EGP 7,250,000"
155,Cash,Resale,Ready,3,3,No,"EGP 6,500,000"
165,Cash,Resale,Ready,3,3,No,"EGP 6,400,000"
235,Cash,Resale,Ready,3,4,No,"EGP 10,000,000"
234,Cash,Resale,Ready,3,3,Yes,"EGP 7,669,000"
140,Installment,Resale,Ready,3,3,No,"EGP 8,330,000"
205,Cash,Resale,Ready,4,3,No,"EGP 8,300,000"
160,Cash,Resale,Ready,3,3,No,"EGP 6,000,000"
170,Cash,Resale,Ready,3,3,No,"EGP 6,250,000"
165,Cash,Resale,Ready,3,3,No,"EGP 6,250,000"
165,Cash,Resale,Ready,3,3,No,"EGP 6,200,000"
165,Cash,Resale,Ready,3,3,Yes,"EGP 6,850,000"
165,Cash,Resale,Ready,3,2,No,"EGP 9,605,115"
115,Cash or Installment,Primary,Off-plan,2,2,Yes,"EGP 10,100,000"
170,Installment,Primary,Off-plan,3,3,Yes,"EGP 8,082,255"
135,Cash,Primary,Off-plan,3,3,No,"EGP 7,700,000"
130,Cash,Primary,Ready,2,2,No,"EGP 6,900,000"
230,Cash,Resale,Ready,4,3,Yes,"EGP 10,000,000"
225,Cash,Resale,Ready,4,4,Yes,"EGP 8,700,000"
