Area,PrivateGarden,price,total_rooms,Payment_Cash or Installment,Payment_Installment,Ownership_Primary,Status_Off-plan
150.0,1,7000000.0,6.0,False,False,True,False
235.0,0,7000000.0,6.0,False,False,False,False
170.0,1,7732255.0,6.0,False,True,True,True
135.0,0,5100000.0,4.0,False,True,False,False
165.0,0,6850000.0,6.0,False,False,False,False
165.0,0,5900000.0,6.0,False,False,False,False
155.0,0,6493000.0,6.0,True,False,False,False
225.0,0,8000000.0,6.0,False,False,False,False
145.0,0,8800000.0,6.0,False,True,False,False
300.0,1,7000000.0,7.0,False,False,True,False
135.0,0,4850000.0,5.0,False,False,True,False
160.0,1,7000000.0,6.0,False,False,False,False
235.0,0,8000000.0,6.0,False,False,False,False
140.0,0,7119000.0,6.0,False,True,False,False
140.0,1,7925000.0,5.0,True,False,False,False
160.0,1,6000000.0,5.0,False,False,True,False
170.0,0,7200000.0,6.0,False,False,False,False
140.0,1,7119000.0,6.0,True,False,False,False
140.0,1,5500000.0,6.0,False,False,True,False
145.0,0,5225000.0,6.0,False,False,True,False
170.0,1,7700000.0,4.0,False,False,False,False
160.0,1,5750000.0,5.0,False,False,True,False
155.0,0,6587000.0,6.0,True,False,False,False
160.0,0,6800000.0,6.0,False,False,False,False
175.0,0,7250000.0,6.0,False,False,False,False
180.0,0,7700000.0,6.0,False,False,False,False
160.0,1,7300000.0,6.0,False,False,False,False
130.0,0,6800000.0,4.0,False,True,False,False
240.0,0,9250000.0,6.0,False,False,True,False
165.0,0,6640000.0,6.0,False,True,False,False
280.0,0,12670000.0,7.0,False,False,False,False
160.0,1,7300000.0,5.0,False,False,False,False
180.0,0,7000000.0,6.0,False,False,True,False
165.0,0,5950000.0,6.0,False,False,False,False
185.0,0,9550000.0,6.0,False,True,False,False
160.0,1,8000000.0,6.0,False,False,False,False
170.0,1,8082255.0,6.0,False,True,True,True
170.0,1,7490000.0,6.0,True,False,False,False
170.0,0,5950000.0,6.0,False,False,False,False
235.0,0,8300000.0,7.0,False,False,False,False
165.0,0,5950000.0,6.0,False,False,False,False
205.0,0,16912834.0,8.0,False,True,True,False
170.0,0,6090000.0,6.0,False,False,False,False
160.0,0,10000000.0,6.0,False,False,False,False
160.0,1,6000000.0,6.0,False,False,True,False
165.0,0,6766000.0,6.0,False,True,False,True
235.0,0,7000000.0,6.0,False,False,False,False
150.0,1,7000000.0,6.0,False,False,True,False
165.0,0,7000000.0,6.0,False,True,False,False
155.0,0,19390288.0,5.0,True,False,True,False
140.0,1,10600000.0,6.0,True,False,True,True
120.0,0,7000000.0,4.0,False,False,True,True
160.0,0,7800000.0,6.0,False,False,True,False
175.0,1,7300000.0,6.0,False,False,False,False
140.0,0,5450000.0,4.0,False,False,False,False
160.0,1,7500000.0,5.0,False,False,False,False
140.0,0,15226159.0,4.0,False,True,True,False
140.0,0,5500000.0,4.0,False,False,False,False
175.0,0,7250000.0,6.0,False,False,False,False
155.0,0,6500000.0,6.0,False,False,False,False
165.0,0,6400000.0,6.0,False,False,False,False
235.0,0,10000000.0,7.0,False,False,False,False
234.0,1,7669000.0,6.0,False,False,False,False
140.0,0,8330000.0,6.0,False,True,False,False
205.0,0,8300000.0,7.0,False,False,False,False
160.0,0,6000000.0,6.0,False,False,False,False
170.0,0,6250000.0,6.0,False,False,False,False
165.0,0,6250000.0,6.0,False,False,False,False
165.0,0,6200000.0,6.0,False,False,False,False
165.0,1,6850000.0,6.0,False,False,False,False
165.0,0,9605115.0,5.0,False,False,False,False
115.0,1,10100000.0,4.0,True,False,True,True
170.0,1,8082255.0,6.0,False,True,True,True
135.0,0,7700000.0,6.0,False,False,True,True
130.0,0,6900000.0,4.0,False,False,True,False
230.0,1,10000000.0,7.0,False,False,False,False
225.0,1,8700000.0,8.0,False,False,False,False
170.0,0,6500000.0,6.0,False,False,False,False
170.0,1,7700000.0,4.0,False,False,False,False
205.0,0,11500000.0,6.0,False,False,False,False
165.0,0,6250000.0,6.0,False,False,False,False
140.0,0,4800000.0,5.0,False,False,True,False
155.0,0,6587000.0,6.0,True,False,False,False
135.0,0,4850000.0,5.0,False,False,True,False
160.0,1,6400000.0,6.0,False,False,False,False
145.0,0,5225000.0,6.0,False,False,True,False
170.0,1,6500000.0,6.0,False,False,False,False
160.0,0,7800000.0,6.0,False,True,True,False
180.0,0,7000000.0,6.0,False,False,True,False
170.0,0,7200000.0,6.0,False,False,False,False
235.0,0,7000000.0,6.0,False,False,False,False
170.0,0,6350000.0,6.0,False,False,False,False
135.0,0,5100000.0,4.0,False,True,False,False
140.0,1,7119000.0,6.0,True,False,False,False
155.0,0,6493000.0,6.0,True,False,False,False
235.0,1,8500000.0,7.0,False,False,False,False
170.0,1,7600000.0,6.0,False,True,False,True
140.0,1,5500000.0,6.0,False,False,True,False
110.0,0,5500000.0,4.0,False,False,True,False
140.0,1,6500000.0,6.0,False,False,False,False
180.0,0,6500000.0,6.0,False,False,True,False
160.0,0,7300000.0,6.0,False,False,False,False
170.0,0,7700000.0,5.0,False,False,False,False
165.0,0,5950000.0,6.0,False,False,True,False
145.0,0,5250000.0,6.0,False,False,True,False
165.0,0,7000000.0,6.0,False,False,True,False
170.0,0,5700000.0,6.0,False,False,True,False
180.0,1,7350000.0,5.0,False,False,False,False
160.0,1,5000000.0,6.0,False,False,True,False
145.0,1,5500000.0,5.0,False,False,False,False
135.0,0,5100000.0,4.0,True,False,False,False
150.0,0,7410750.0,6.0,False,True,False,True
180.0,0,7000000.0,6.0,False,False,False,False
130.0,0,5150000.0,4.0,False,False,False,False
170.0,0,8670000.0,6.0,False,True,False,False
155.0,0,6630000.0,4.0,False,True,False,False
170.0,0,7961360.0,6.0,False,True,False,False
150.0,0,7087201.0,6.0,False,True,False,False
155.0,0,7800000.0,6.0,False,True,False,False
245.0,1,22000000.0,7.0,True,False,True,False
245.0,1,22000000.0,7.0,True,False,True,False
170.0,1,6500000.0,6.0,False,False,False,False
170.0,1,6500000.0,6.0,False,False,False,False
235.0,0,10510000.0,6.0,False,True,False,True
170.0,0,7958000.0,6.0,False,True,False,False
160.0,1,5750000.0,5.0,False,False,True,False
175.0,0,7975000.0,6.0,False,True,False,True
165.0,0,6765000.0,6.0,False,True,False,False
170.0,1,7700000.0,5.0,False,False,False,False
165.0,1,6000000.0,6.0,False,True,False,True
165.0,0,5950000.0,6.0,False,False,False,False
140.0,1,9000196.0,4.0,True,False,True,False
170.0,0,6200000.0,6.0,False,False,False,False
170.0,0,6200000.0,6.0,False,False,False,False
160.0,1,4800000.0,5.0,False,False,True,False
160.0,1,14000000.0,6.0,True,False,True,False
162.0,1,4350000.0,5.0,False,False,True,False
160.0,1,6000000.0,5.0,False,False,True,False
160.0,1,7300000.0,5.0,False,False,False,False
140.0,1,7925000.0,5.0,True,False,False,False
140.0,1,5500000.0,6.0,False,False,True,False
170.0,1,7490000.0,6.0,True,False,False,False
235.0,1,8400000.0,7.0,False,False,False,False
235.0,1,8000000.0,6.0,False,False,False,False
235.0,0,12000000.0,6.0,False,False,False,False
135.0,1,7800000.0,5.0,False,False,False,False
170.0,1,6500000.0,6.0,False,False,False,False
165.0,0,8000000.0,5.0,False,False,False,False
165.0,0,6640000.0,6.0,False,True,False,False
145.0,0,9350000.0,6.0,False,False,False,False
135.0,0,8250000.0,5.0,False,False,False,False
155.0,0,6300000.0,6.0,True,False,False,True
110.0,1,12000000.0,4.0,False,False,True,False
160.0,0,6200000.0,6.0,False,False,False,False
90.0,0,5000000.0,2.0,False,True,False,True
160.0,0,7380000.0,6.0,False,False,False,False
190.0,0,9200000.0,6.0,False,False,False,False
130.0,0,4950000.0,4.0,False,False,False,False
135.0,0,7700000.0,5.0,False,True,False,False
170.0,0,8000000.0,6.0,False,False,False,False
160.0,0,8000000.0,6.0,False,False,False,False
155.0,0,7080000.0,6.0,False,True,False,True
230.0,0,11000000.0,6.0,False,False,False,False
170.0,0,6000000.0,6.0,False,False,False,False
180.0,0,7700000.0,6.0,False,False,False,False
170.0,0,7200000.0,6.0,False,False,False,False
155.0,0,6750000.0,6.0,False,True,False,False
140.0,1,6050000.0,6.0,True,False,False,False
165.0,0,6766706.0,6.0,True,False,False,False
155.0,0,7000000.0,6.0,False,False,False,False
175.0,1,7300000.0,6.0,False,False,False,False
205.0,1,8500000.0,6.0,False,False,False,False
205.0,1,8500000.0,6.0,False,False,False,False
185.0,1,7500000.0,6.0,False,False,False,False
165.0,1,6500000.0,6.0,False,False,False,False
165.0,0,6842000.0,6.0,True,False,False,False
135.0,0,4850000.0,4.0,False,False,False,False
170.0,0,8420000.0,6.0,False,True,False,False
155.0,1,18459000.0,6.0,True,False,True,False
170.0,1,8466000.0,6.0,True,False,False,True
160.0,1,7600000.0,6.0,False,False,False,False
155.0,1,5750000.0,6.0,False,False,False,False
170.0,1,6500000.0,6.0,False,False,False,False
175.0,1,7800000.0,6.0,False,False,False,False
235.0,0,8600000.0,7.0,False,False,False,False
170.0,1,8860000.0,6.0,False,False,False,False
165.0,0,5950000.0,6.0,False,False,False,False
235.0,0,8000000.0,6.0,False,False,False,False
155.0,0,6982000.0,6.0,True,False,False,False
135.0,0,7700000.0,6.0,False,False,False,False
170.0,1,6300000.0,6.0,False,False,False,False
160.0,1,7300000.0,6.0,False,False,False,False
175.0,1,7800000.0,6.0,False,False,False,False
125.0,1,5250000.0,3.0,True,False,False,False
140.0,1,9600000.0,4.0,True,False,True,False
170.0,1,6200000.0,5.0,False,False,False,False
140.0,0,7119000.0,6.0,False,True,False,False
205.0,0,9800000.0,6.0,False,False,True,False
145.0,0,6182575.0,6.0,True,False,False,False
170.0,0,8930000.0,6.0,False,True,False,False
150.0,0,7625000.0,6.0,False,True,False,False
140.0,0,6188000.0,6.0,False,True,False,False
